location,price,beds,baths,house_size,land_size
17,19000000,4,3,2850.0,7.5
7,29500000,5,4,3500.0,8.0
17,18000000,4,4,4500.0,10.0
22,16500000,4,3,2400.0,6.7
33,4500000,2,1,1000.0,3.0
22,20500000,4,5,3500.0,9.0
17,22000000,4,3,2850.0,7.0
8,13000000,3,2,1800.0,10.0
17,26000000,5,4,3000.0,8.5
1,26000000,4,4,3680.0,10.0
17,21500000,4,4,2680.0,7.0
2,13500000,4,2,2000.0,8.2
11,21500000,4,3,2500.0,6.0
22,8500000,4,2,2500.0,10.0
25,12900000,3,2,1650.0,10.0
22,24000000,5,4,3400.0,11.5
9,24000000,4,3,2200.0,19.0
1,6500000,2,2,1000.0,5.6
1,21500000,4,2,2170.0,10.6
22,13000000,3,2,1450.0,9.85
25,29800000,4,3,2600.0,8.0
25,21000000,5,2,3000.0,12.0
9,10900000,3,3,1450.0,10.5
28,29000000,3,2,5000.0,15.0
11,34000000,4,4,3300.0,8.0
7,32000000,3,2,2205.0,7.5
9,13500000,3,3,1650.0,10.0
18,22800000,4,4,1885.0,5.5
17,18750000,3,2,2600.0,6.5
9,11000000,3,2,990.0,6.0
7,31000000,4,3,2500.0,6.5
31,32000000,4,2,3000.0,9.7
10,12000000,2,2,1600.0,5.0
28,26000000,4,4,3600.0,10.0
16,27000000,4,2,2500.0,8.35
18,18000000,3,3,1800.0,10.5
6,5500000,5,2,1500.0,15.0
28,23700000,4,3,3140.0,10.0
8,5900000,3,2,2400.0,10.0
2,24000000,4,3,2100.0,8.3
25,11000000,3,2,1500.0,11.0
25,3950000,3,1,1150.0,9.6
22,13500000,3,2,2100.0,13.5
9,16000000,4,3,2200.0,7.0
1,26000000,4,4,3800.0,10.0
18,30000000,5,4,3500.0,16.0
1,21000000,4,3,2500.0,9.0
18,12500000,3,3,1200.0,7.0
1,6000000,2,2,1200.0,4.6
9,13500000,3,3,1650.0,10.0
8,5300000,3,1,1250.0,10.0
17,11000000,3,3,1300.0,6.5
17,23000000,4,4,2800.0,9.0
18,18000000,6,2,2000.0,10.2
17,21000000,4,4,2450.0,7.0
17,30000000,5,4,2600.0,10.0
18,22500000,3,2,1800.0,10.5
1,17000000,4,3,2100.0,6.2
2,17000000,5,3,2500.0,11.3
1,27000000,5,4,5408.0,12.8
11,34000000,4,3,2800.0,7.5
9,27000000,5,4,5408.0,12.8
31,30000000,6,4,3000.0,14.0
18,26000000,4,3,3000.0,7.6
17,20500000,4,3,2500.0,8.5
17,30000000,4,4,2900.0,8.0
17,11800000,3,3,1500.0,8.0
17,20000000,4,3,2500.0,10.0
13,4800000,2,2,1200.0,9.0
18,30000000,5,3,3500.0,10.0
2,29000000,4,4,2500.0,6.0
17,15000000,3,1,1300.0,12.0
22,16000000,5,5,2600.0,10.0
25,15900000,3,3,2650.0,4.0
9,9000000,3,2,1500.0,10.0
17,30000000,5,4,2600.0,10.0
11,33500000,5,4,3800.0,7.8
34,2600000,3,3,1800.0,12.5
28,28500000,10,10,2750.0,7.0
9,11000000,3,1,1800.0,20.0
9,27500000,5,3,3700.0,18.5
22,8900000,3,2,1450.0,10.0
22,12000000,3,3,1400.0,7.75
9,17500000,4,2,2470.0,10.0
17,18700000,3,3,1800.0,7.13
34,15000000,5,2,2500.0,6.5
11,23500000,4,3,2500.0,6.0
2,22750000,3,3,2600.0,7.0
17,19500000,5,3,3000.0,9.5
9,33500000,5,4,4000.0,12.0
22,9700000,2,1,700.0,6.7
31,24800000,3,2,25000.0,10.0
22,15400000,3,3,1700.0,7.0
17,19000000,3,3,2400.0,10.0
33,33000000,4,4,2700.0,8.0
8,11500000,3,3,1450.0,7.3
31,32000000,5,5,3500.0,8.0
34,13800000,5,2,2300.0,6.0
22,18500000,3,2,1800.0,22.0
2,28000000,4,4,3680.0,10.0
17,23000000,4,3,2582.0,8.6
1,34000000,5,3,3600.0,19.0
17,14000000,5,3,1950.0,6.6
22,24000000,5,4,3400.0,11.5
17,24000000,4,3,2800.0,7.0
21,19500000,3,3,2150.0,8.6
17,20500000,4,3,2850.0,8.0
22,4300000,3,1,1000.0,5.72
22,14000000,4,3,1800.0,11.0
31,21500000,4,3,2500.0,6.5
17,12000000,3,2,1350.0,7.2
16,29000000,3,1,2000.0,10.0
29,11500000,5,3,2552.0,15.0
18,19500000,3,3,2040.0,6.5
22,18500000,5,3,2500.0,10.0
8,22500000,4,4,3200.0,8.0
31,21500000,4,3,2500.0,6.5
28,7300000,2,2,1000.0,8.0
22,21500000,4,3,2200.0,8.0
17,30000000,4,4,2400.0,10.0
11,30000000,5,4,3500.0,7.5
7,17000000,3,3,3500.0,9.0
22,25000000,5,2,4000.0,12.5
1,9000000,3,2,1380.0,6.5
1,13000000,3,3,1580.0,8.0
2,19800000,4,2,2200.0,8.6
30,25000000,3,3,3500.0,17.0
9,22500000,5,3,2400.0,18.5
1,24800000,4,4,2500.0,7.0
11,21500000,4,3,2200.0,6.5
11,32500000,4,4,3200.0,10.0
17,22500000,4,3,1883.0,5.5
9,31000000,4,5,4000.0,10.0
9,8300000,2,1,1600.0,12.0
17,19000000,3,3,2400.0,10.0
17,11800000,3,3,1500.0,8.0
17,11000000,3,3,1300.0,6.5
17,18000000,4,4,2200.0,7.0
17,23000000,4,4,2800.0,9.0
17,21000000,4,4,2450.0,7.0
22,28800000,6,5,3300.0,8.2
10,25000000,2,2,800.0,6.5
17,20000000,4,3,2400.0,10.0
17,21500000,4,3,2650.0,7.0
17,11000000,3,2,1500.0,7.0
17,28500000,5,4,3800.0,10.5
1,12500000,3,2,1537.0,10.0
17,21500000,4,4,2400.0,6.0
1,9500000,3,2,1100.0,9.0
17,22500000,4,4,2800.0,8.0
17,21500000,4,3,2200.0,6.5
9,9975000,4,2,2200.0,11.23
11,32500000,4,4,3500.0,11.0
28,13000000,3,3,1500.0,10.7
17,22500000,4,4,2800.0,10.0
17,33000000,6,5,3900.0,12.0
17,16000000,3,3,1600.0,10.0
17,11000000,3,3,1300.0,6.5
17,23000000,4,4,2800.0,9.0
9,13500000,3,3,1650.0,10.0
26,30000000,4,2,2600.0,11.0
3,7500000,3,2,1200.0,4.4
1,14000000,3,2,1288.0,8.0
16,18000000,2,2,1500.0,7.0
16,22000000,4,3,2850.0,8.0
9,18000000,4,2,2537.0,6.3
31,32000000,3,2,2000.0,6.1
1,26000000,4,2,2700.0,13.0
1,10000000,2,1,700.0,7.5
11,30000000,3,3,2500.0,11.0
22,7200000,3,2,2500.0,11.5
17,21500000,4,3,2850.0,6.0
9,8000000,2,2,1800.0,6.0
18,12500000,3,3,1200.0,7.0
7,22000000,4,2,1100.0,13.0
17,18000000,4,4,2200.0,7.0
7,25000000,5,3,2725.0,12.0
22,16000000,4,2,2100.0,6.0
8,16000000,4,2,2100.0,6.0
18,29000000,4,4,3000.0,6.0
17,21000000,4,4,2450.0,7.0
17,30000000,4,4,2900.0,8.0
17,19000000,3,3,2400.0,10.0
17,20000000,4,4,2500.0,10.0
9,11000000,3,3,1400.0,9.0
1,10000000,2,1,700.0,7.5
17,33000000,6,6,3800.0,12.0
17,24000000,4,4,2900.0,7.0
9,27000000,5,4,5480.0,12.8
1,27000000,5,4,5408.0,12.8
18,16500000,3,2,2200.0,7.1
17,16000000,3,2,1600.0,10.0
24,29000000,5,2,1600.0,7.0
9,6400000,2,1,1000.0,6.0
33,9500000,3,1,1600.0,7.0
3,4000000,2,2,1000.0,1.7
17,28000000,4,5,3500.0,6.0
11,12000000,4,2,1976.0,6.85
8,12500000,4,3,1850.0,9.0
11,28000000,6,4,3650.0,12.5
17,15500000,6,3,2500.0,12.0
24,28000000,4,2,2000.0,7.0
22,13000000,4,2,1550.0,7.0
8,12800000,3,1,1200.0,7.5
17,7200000,2,1,1000.0,6.0
1,13000000,3,3,1580.0,8.0
1,26000000,4,4,2900.0,10.0
1,17000000,4,3,2100.0,6.2
17,23000000,4,4,2800.0,9.0
17,24000000,4,4,2900.0,7.0
24,5500000,2,1,871.0,3.0
18,22800000,4,4,1885.0,5.5
22,14000000,3,2,1200.0,9.7
9,20000000,4,3,2700.0,10.0
18,22500000,3,2,1800.0,10.5
7,15000000,3,2,2000.0,8.25
9,31000000,4,5,4000.0,10.0
11,32500000,4,4,3200.0,10.0
29,5000000,2,1,1200.0,18.0
11,34000000,4,4,3300.0,8.0
18,18000000,3,3,1800.0,10.5
7,23000000,5,2,2500.0,8.6
25,6900000,4,2,1500.0,10.0
22,16500000,6,3,2800.0,18.0
7,27500000,4,4,3000.0,10.0
22,16000000,4,4,3200.0,7.2
9,19500000,4,3,2850.0,7.5
33,9600000,3,2,650.0,5.9
23,21000000,4,3,2000.0,4.0
17,6900000,2,2,1077.0,3.5
17,9500000,3,1,2000.0,9.7
25,11200000,3,3,1580.0,8.0
30,28500000,4,3,2500.0,6.0
17,18000000,3,3,2300.0,6.5
29,7900000,3,3,1600.0,20.0
18,17500000,4,2,714.0,5.35
1,10000000,2,1,700.0,7.5
25,9000000,3,3,1480.0,7.5
31,14000000,3,2,800.0,10.02
23,26500000,3,2,1700.0,7.5
5,18000000,5,2,1582.0,5.4
31,21000000,3,2,1950.0,11.8
23,14000000,3,1,800.0,3.8
17,28500000,5,4,3500.0,10.0
25,7900000,3,2,2000.0,10.0
19,6800000,2,2,1200.0,4.2
17,24000000,4,4,2900.0,7.0
17,22500000,4,4,2800.0,10.0
17,30000000,4,4,2900.0,8.0
36,2500000,2,1,1400.0,4.0
11,31000000,5,4,38000.0,7.5
22,10900000,2,2,865.0,11.95
31,29000000,4,3,2800.0,8.33
9,26000000,5,4,3300.0,8.5
1,19000000,3,3,2400.0,10.0
23,11500000,3,1,900.0,8.0
9,8300000,2,1,1600.0,12.0
24,29500000,3,4,2600.0,6.0
17,23000000,4,4,2800.0,9.0
17,23000000,3,3,2400.0,10.0
17,11800000,3,3,1500.0,8.0
17,21000000,4,4,2450.0,7.0
11,20000000,5,3,2900.0,10.5
23,20000000,4,4,2680.0,4.5
22,8900000,3,2,1450.0,10.0
22,24000000,5,4,3400.0,11.5
7,31500000,4,3,3150.0,6.5
7,17500000,6,3,2200.0,6.7
10,25000000,2,2,800.0,6.5
16,7285000,3,2,1072.0,6.0
16,18000000,3,3,2650.0,8.0
7,34000000,4,3,3500.0,6.3
36,9000000,2,1,1100.0,6.0
22,16500000,5,2,2524.0,8.5
9,31000000,4,5,4000.0,10.0
1,19500000,5,3,3200.0,11.5
11,32500000,4,4,3200.0,10.0
1,25000000,4,2,2500.0,14.0
1,22000000,5,4,2900.0,9.8
18,30000000,5,4,3500.0,16.0
9,19000000,4,4,2400.0,8.0
8,6500000,3,1,1000.0,6.0
9,13500000,3,3,1650.0,10.0
24,34000000,2,2,1300.0,7.2
9,28000000,5,4,2500.0,16.0
36,27500000,5,2,2300.0,5.0
11,16500000,2,2,1000.0,6.0
17,25000000,4,3,2240.0,10.0
17,30000000,5,4,2600.0,10.0
25,14500000,5,2,3000.0,25.5
11,34000000,4,4,3300.0,8.0
17,21500000,4,3,2850.0,6.0
11,21500000,4,3,2200.0,6.5
1,24800000,4,4,2500.0,7.0
18,18000000,3,3,1800.0,10.0
8,12000000,3,3,2722.5,20.0
1,4800000,1,1,680.0,3.6
17,22500000,4,4,2800.0,8.0
24,16000000,2,1,1960.0,7.3
17,21000000,4,4,2450.0,7.0
17,24000000,4,4,2900.0,7.0
17,18000000,4,4,2200.0,7.0
17,16000000,3,3,1600.0,10.0
2,6350000,3,2,1400.0,5.7
18,24000000,4,4,2850.0,8.0
22,15000000,3,1,1300.0,11.0
8,22000000,4,3,1820.0,7.63
1,11500000,3,1,1200.0,7.5
17,26500000,5,3,2400.0,6.35
28,26000000,4,4,3600.0,10.0
31,5500000,2,1,850.0,4.5
4,28000000,4,4,1700.0,3.5
16,25000000,8,6,3000.0,18.0
11,18500000,4,2,1850.0,17.0
11,21000000,4,3,2650.0,11.0
8,8900000,3,2,1200.0,10.0
30,13500000,3,2,900.0,3.0
22,11500000,3,2,1300.0,7.5
22,8500000,3,2,1250.0,8.0
29,3600000,2,1,1200.0,10.0
34,20000000,5,4,4000.0,18.0
33,18000000,5,3,2000.0,7.23
11,27500000,5,4,3500.0,10.0
1,13000000,3,3,1200.0,10.0
33,21000000,4,2,2000.0,7.3
22,12000000,1,1,1480.0,10.7
9,8500000,3,2,1320.0,10.4
25,8000000,2,1,1250.0,7.5
17,16000000,6,3,4500.0,12.0
17,30000000,4,4,2900.0,8.0
22,31500000,4,3,2150.0,8.7
18,16500000,3,4,2200.0,7.1
17,12800000,3,3,1300.0,7.9
2,21500000,3,2,1200.0,11.0
17,33000000,6,6,3900.0,12.0
1,9800000,3,2,1500.0,6.0
1,14200000,3,3,1580.0,10.0
9,19000000,4,4,2620.0,8.0
18,7000000,2,1,1497.0,6.0
1,9800000,3,3,2100.0,7.5
9,19000000,4,4,2600.0,8.5
7,27500000,4,3,2550.0,8.5
9,18000000,4,4,2200.0,8.0
31,29000000,4,3,2800.0,8.33
24,12500000,2,1,1000.0,6.5
17,19000000,3,3,2400.0,10.0
17,26000000,5,5,4000.0,8.0
18,18000000,3,3,1800.0,10.0
17,21000000,4,4,2450.0,7.0
17,20000000,4,4,2500.0,10.0
17,24000000,4,4,2900.0,7.0
17,22500000,4,4,2800.0,8.0
9,8300000,2,1,1600.0,12.0
22,13200000,3,3,1600.0,12.0
9,27000000,5,4,5480.0,12.8
17,16000000,3,3,1600.0,10.0
17,18000000,4,4,2200.0,7.0
17,26000000,5,4,3300.0,8.5
17,23000000,4,4,2800.0,9.0
18,14900000,2,2,1000.0,7.0
22,17500000,4,4,2800.0,10.0
22,23500000,5,5,3400.0,9.5
1,26000000,4,4,3800.0,10.0
23,29000000,4,4,2500.0,4.0
23,25000000,3,4,1500.0,4.0
21,3800000,4,1,1200.0,12.0
22,18500000,4,4,2000.0,9.0
11,21500000,4,3,2850.0,6.0
9,6700000,1,2,11000.0,7.0
17,26000000,5,4,2850.0,8.5
8,12000000,4,3,1800.0,8.5
22,21000000,4,3,2200.0,7.0
17,22500000,4,4,2850.0,8.0
17,18800000,4,4,2250.0,6.5
28,12500000,3,2,1700.0,10.0
28,26000000,3,2,2750.0,35.0
22,13000000,3,2,1600.0,11.5
9,11450000,3,3,1340.0,9.3
16,27000000,4,2,2500.0,8.35
9,29500000,4,3,4500.0,11.0
17,21000000,4,4,2450.0,7.0
1,20000000,4,3,2850.0,10.8
9,8700000,3,2,1340.0,9.5
11,26500000,4,3,1800.0,6.0
25,7800000,2,1,1200.0,15.0
2,15900000,4,3,3900.0,11.0
1,13800000,3,3,1750.0,10.0
7,31500000,5,3,3700.0,6.5
11,25000000,4,4,2650.0,10.0
7,33000000,4,4,4200.0,13.5
22,10500000,3,2,900.0,4.0
9,11000000,3,2,2000.0,7.0
1,14200000,3,3,1650.0,10.0
11,22000000,6,3,3500.0,13.8
2,22750000,3,3,2600.0,7.0
17,20000000,4,4,2500.0,10.0
22,12800000,3,3,1350.0,7.67
6,2500000,2,1,900.0,10.0
21,14000000,3,3,2000.0,8.0
25,17000000,5,2,2950.0,11.9
16,6800000,4,2,1200.0,6.0
9,18000000,2,2,2500.0,18.2
11,30000000,4,4,3000.0,10.0
3,7000000,2,1,1200.0,2.0
19,12000000,2,1,5000.0,20.0
2,18000000,3,2,1800.0,8.0
20,5000000,2,1,1200.0,10.0
17,19000000,3,4,2400.0,10.0
17,30000000,4,4,3900.0,8.0
25,9000000,3,3,1480.0,7.5
33,33000000,4,4,2700.0,8.0
15,22000000,3,3,2550.0,10.0
